Setting,Scenario,Protocol,BottleneckMbps,BaseOwdMs,Flows,SinkPort,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,dc_100g,TcpCubic,100000.0,0.004,3,49153/5000,85660.71,0.8566,0.0081,0.0001,0.0157,0.9995,comparison/dc_100g_TcpCubic.flowmonitor
tcp_only,dc_100g,TcpNewReno,100000.0,0.004,3,49153/5000,82343.44,0.8234,0.0079,0.0001,0.0107,0.9997,comparison/dc_100g_TcpNewReno.flowmonitor
tcp_only,dc_100g,TcpSwift,100000.0,0.004,3,49153/5000,89305.06,0.8931,0.0079,0.0001,0.0117,1.0,comparison/dc_100g_TcpSwift.flowmonitor
tcp_only,dc_100m,TcpBbr,100.0,0.009,3,49153/5000,81.1,0.811,3.8845,0.0348,0.0088,0.9973,comparison/dc_100m_TcpBbr.flowmonitor
tcp_only,dc_100m,TcpCubic,100.0,0.009,3,49153/5000,82.18,0.8218,4.0837,0.0293,0.013,0.9991,comparison/dc_100m_TcpCubic.flowmonitor
tcp_only,dc_100m,TcpNewReno,100.0,0.009,3,49153/5000,80.07,0.8007,3.7952,0.0357,0.0089,0.9996,comparison/dc_100m_TcpNewReno.flowmonitor
tcp_only,dc_100m,TcpSwift,100.0,0.009,3,49153/5000,86.7,0.867,3.9,0.0354,0.0082,0.999,comparison/dc_100m_TcpSwift.flowmonitor
tcp_only,dc_500m,TcpBbr,500.0,0.009,3,49153/5000,435.0,0.87,0.8815,0.0039,0.0148,0.9998,comparison/dc_500m_TcpBbr.flowmonitor
tcp_only,dc_500m,TcpCubic,500.0,0.009,3,49153/5000,428.79,0.8576,0.8516,0.0024,0.0148,0.9999,comparison/dc_500m_TcpCubic.flowmonitor
tcp_only,dc_500m,TcpNewReno,500.0,0.009,3,49153/5000,430.53,0.8611,0.9003,0.006,0.0162,0.9989,comparison/dc_500m_TcpNewReno.flowmonitor
tcp_only,dc_500m,TcpSwift,500.0,0.009,3,49153/5000,460.17,0.9203,0.8489,0.0036,0.0155,0.9987,comparison/dc_500m_TcpSwift.flowmonitor
tcp_only,dc_oversub_10to1,TcpBbr,1000.0,0.009,3,49153/5000,860.07,0.8601,0.4583,0.0041,0.0168,0.9998,comparison/dc_oversub_10to1_TcpBbr.flowmonitor
tcp_only,dc_oversub_10to1,TcpCubic,1000.0,0.009,3,49153/5000,846.5,0.8465,0.4466,0.0022,0.0169,0.9988,comparison/dc_oversub_10to1_TcpCubic.flowmonitor
tcp_only,dc_oversub_10to1,TcpNewReno,1000.0,0.009,3,49153/5000,835.73,0.8357,0.4504,0.0022,0.0123,0.999,comparison/dc_oversub_10to1_TcpNewReno.flowmonitor
tcp_only,dc_oversub_10to1,TcpSwift,1000.0,0.009,3,49153/5000,895.55,0.8956,0.4541,0.0022,0.0144,0.9994,comparison/dc_oversub_10to1_TcpSwift.flowmonitor
tcp_only,intra_rack_10g,TcpBbr,10000.0,0.004,3,49153/5000,8762.93,0.8763,0.0513,0.0005,0.022,0.9992,comparison/intra_rack_10g_TcpBbr.flowmonitor
tcp_only,intra_rack_10g,TcpCubic,10000.0,0.004,3,49153/5000,8865.0,0.8865,0.0524,0.0004,0.0211,0.9995,comparison/intra_rack_10g_TcpCubic.flowmonitor
tcp_only,intra_rack_10g,TcpNewReno,10000.0,0.004,3,49153/5000,8687.35,0.8687,0.0515,0.0005,0.0214,0.9992,comparison/intra_rack_10g_TcpNewReno.flowmonitor
tcp_only,intra_rack_10g,TcpSwift,10000.0,0.004,3,49153/5000,9302.57,0.9303,0.0502,0.0005,0.018,0.9996,comparison/intra_rack_10g_TcpSwift.flowmonitor
tcp_only,intra_rack_25g,TcpBbr,25000.0,0.004,3,49153/5000,21161.42,0.8465,0.0206,0.0001,0.0153,0.9989,comparison/intra_rack_25g_TcpBbr.flowmonitor
tcp_only,intra_rack_25g,TcpCubic,25000.0,0.004,3,49153/5000,21236.82,0.8495,0.0207,0.0001,0.0111,0.9994,comparison/intra_rack_25g_TcpCubic.flowmonitor
tcp_only,intra_rack_25g,TcpNewReno,25000.0,0.004,3,49153/5000,20483.78,0.8194,0.019,0.0001,0.008,0.9993,comparison/intra_rack_25g_TcpNewReno.flowmonitor
tcp_only,intra_rack_25g,TcpSwift,25000.0,0.004,3,49153/5000,22425.37,0.897,0.0199,0.0001,0.0099,0.9983,comparison/intra_rack_25g_TcpSwift.flowmonitor
tcp_only,leaf_spine_20g,TcpBbr,20000.0,0.009,3,49153/5000,16805.3,0.8403,0.0281,0.0002,0.0105,0.9978,comparison/leaf_spine_20g_TcpBbr.flowmonitor
tcp_only,leaf_spine_20g,TcpCubic,20000.0,0.009,3,49153/5000,17545.72,0.8773,0.0331,0.0001,0.0176,0.9999,comparison/leaf_spine_20g_TcpCubic.flowmonitor
tcp_only,leaf_spine_20g,TcpNewReno,20000.0,0.009,3,49153/5000,16279.4,0.814,0.0279,0.0001,0.0101,0.998,comparison/leaf_spine_20g_TcpNewReno.flowmonitor
tcp_only,leaf_spine_20g,TcpSwift,20000.0,0.009,3,49153/5000,18016.65,0.9008,0.0274,0.0001,0.01,0.9996,comparison/leaf_spine_20g_TcpSwift.flowmonitor
tcp_only,leaf_spine_50g,TcpBbr,50000.0,0.009,3,49153/5000,41699.62,0.834,0.0163,0.0001,0.0125,0.9993,comparison/leaf_spine_50g_TcpBbr.flowmonitor
tcp_only,leaf_spine_50g,TcpCubic,50000.0,0.009,3,49153/5000,41621.44,0.8324,0.0168,0.0001,0.0109,0.9993,comparison/leaf_spine_50g_TcpCubic.flowmonitor
tcp_only,leaf_spine_50g,TcpNewReno,50000.0,0.009,3,49153/5000,41189.33,0.8238,0.0166,0.0002,0.0097,0.9992,comparison/leaf_spine_50g_TcpNewReno.flowmonitor
tcp_only,leaf_spine_50g,TcpSwift,50000.0,0.009,3,49153/5000,43160.55,0.8632,0.0165,0.0001,0.0092,0.999,comparison/leaf_spine_50g_TcpSwift.flowmonitor
tcp_only,lte_good,TcpBbr,50.0,30.0,3,49153/5000,41.14,0.8228,37.4833,0.3281,0.0174,0.9998,comparison/lte_good_TcpBbr.flowmonitor
tcp_only,lte_good,TcpCubic,50.0,30.0,3,49153/5000,41.12,0.8225,39.1253,0.4388,0.013,0.9905,comparison/lte_good_TcpCubic.flowmonitor
tcp_only,lte_good,TcpNewReno,50.0,30.0,3,49153/5000,39.96,0.7992,39.5563,0.4031,0.0089,0.9977,comparison/lte_good_TcpNewReno.flowmonitor
tcp_only,lte_good,TcpSwift,50.0,30.0,3,49153/5000,42.26,0.8453,37.632,0.4184,0.0127,0.9976,comparison/lte_good_TcpSwift.flowmonitor
tcp_only,lte_poor,TcpBbr,10.0,70.0,3,49153/5000,8.18,0.8179,118.1664,1.0475,0.0218,0.9983,comparison/lte_poor_TcpBbr.flowmonitor
tcp_only,lte_poor,TcpCubic,10.0,70.0,3,49153/5000,8.05,0.8051,115.4021,0.5818,0.0222,0.9871,comparison/lte_poor_TcpCubic.flowmonitor
tcp_only,lte_poor,TcpNewReno,10.0,70.0,3,49153/5000,7.92,0.7919,116.4265,0.4498,0.0225,0.9933,comparison/lte_poor_TcpNewReno.flowmonitor
tcp_only,lte_poor,TcpSwift,10.0,70.0,3,49153/5000,8.5,0.8503,114.4919,0.5952,0.021,0.9987,comparison/lte_poor_TcpSwift.flowmonitor
tcp_only,mixed_large_flow,TcpBbr,12500.0,0.014,3,49153/5000,10790.78,0.8633,0.0505,0.0006,0.0135,0.9998,comparison/mixed_large_flow_TcpBbr.flowmonitor
tcp_only,mixed_large_flow,TcpCubic,12500.0,0.014,3,49153/5000,11052.03,0.8842,0.0518,0.0004,0.0216,0.9979,comparison/mixed_large_flow_TcpCubic.flowmonitor
tcp_only,mixed_large_flow,TcpNewReno,12500.0,0.014,3,49153/5000,10780.33,0.8624,0.0526,0.0005,0.0162,0.9973,comparison/mixed_large_flow_TcpNewReno.flowmonitor
tcp_only,mixed_large_flow,TcpSwift,12500.0,0.014,3,49153/5000,11501.73,0.9201,0.0527,0.0005,0.0161,0.9991,comparison/mixed_large_flow_TcpSwift.flowmonitor
tcp_only,mixed_small_flow,TcpBbr,2000.0,0.014,3,49153/5000,1699.84,0.8499,0.2301,0.0025,0.0174,0.9999,comparison/mixed_small_flow_TcpBbr.flowmonitor
tcp_only,mixed_small_flow,TcpCubic,2000.0,0.014,3,49153/5000,1756.71,0.8784,0.2494,0.0018,0.0237,0.9982,comparison/mixed_small_flow_TcpCubic.flowmonitor
tcp_only,mixed_small_flow,TcpNewReno,2000.0,0.014,3,49153/5000,1698.33,0.8492,0.2339,0.0017,0.0151,0.999,comparison/mixed_small_flow_TcpNewReno.flowmonitor
tcp_only,mixed_small_flow,TcpSwift,2000.0,0.014,3,49153/5000,1851.86,0.9259,0.2313,0.0017,0.0152,0.9997,comparison/mixed_small_flow_TcpSwift.flowmonitor
tcp_only,nr_5g_edge,TcpBbr,100.0,14.0,3,49153/5000,83.07,0.8307,18.2525,0.0933,0.0172,0.9933,comparison/nr_5g_edge_TcpBbr.flowmonitor
tcp_only,nr_5g_edge,TcpCubic,100.0,14.0,3,49153/5000,82.46,0.8246,19.0235,0.151,0.0166,0.9989,comparison/nr_5g_edge_TcpCubic.flowmonitor
tcp_only,nr_5g_edge,TcpNewReno,100.0,14.0,3,49153/5000,82.89,0.8289,19.2767,0.1657,0.0201,0.996,comparison/nr_5g_edge_TcpNewReno.flowmonitor
tcp_only,nr_5g_edge,TcpSwift,100.0,14.0,3,49153/5000,87.8,0.878,19.3383,0.1563,0.019,0.9992,comparison/nr_5g_edge_TcpSwift.flowmonitor
tcp_only,nr_5g_embb,TcpBbr,500.0,7.0,3,49153/5000,402.19,0.8044,7.7523,0.0975,0.0132,0.9898,comparison/nr_5g_embb_TcpBbr.flowmonitor
tcp_only,nr_5g_embb,TcpCubic,500.0,7.0,3,49153/5000,408.63,0.8173,7.9536,0.0261,0.0165,0.9995,comparison/nr_5g_embb_TcpCubic.flowmonitor
tcp_only,nr_5g_embb,TcpNewReno,500.0,7.0,3,49153/5000,399.01,0.798,8.2075,0.0415,0.0121,0.9948,comparison/nr_5g_embb_TcpNewReno.flowmonitor
tcp_only,nr_5g_embb,TcpSwift,500.0,7.0,3,49153/5000,429.51,0.859,8.0926,0.0381,0.0122,0.9996,comparison/nr_5g_embb_TcpSwift.flowmonitor
tcp_only,oversub_2to1_25g,TcpBbr,12500.0,0.009,3,49153/5000,10949.5,0.876,0.0461,0.0004,0.0214,0.9982,comparison/oversub_2to1_25g_TcpBbr.flowmonitor
tcp_only,oversub_2to1_25g,TcpCubic,12500.0,0.009,3,49153/5000,10991.76,0.8793,0.048,0.0004,0.0218,0.9992,comparison/oversub_2to1_25g_TcpCubic.flowmonitor
tcp_only,oversub_2to1_25g,TcpNewReno,12500.0,0.009,3,49153/5000,10663.4,0.8531,0.0458,0.0006,0.012,0.9979,comparison/oversub_2to1_25g_TcpNewReno.flowmonitor
tcp_only,oversub_2to1_25g,TcpSwift,12500.0,0.009,3,49153/5000,11427.66,0.9142,0.0458,0.0003,0.0219,0.9991,comparison/oversub_2to1_25g_TcpSwift.flowmonitor
tcp_only,oversub_2to1_50g,TcpBbr,25000.0,0.009,3,49153/5000,20976.96,0.8391,0.0247,0.0003,0.0112,0.9999,comparison/oversub_2to1_50g_TcpBbr.flowmonitor
tcp_only,oversub_2to1_50g,TcpCubic,25000.0,0.009,3,49153/5000,21714.22,0.8686,0.0264,0.0001,0.0159,0.9999,comparison/oversub_2to1_50g_TcpCubic.flowmonitor
